extension,x,y,mag_v,mag_i,type,snr_v,snr_i,flag_v,flag_i,crowd_v,crowd_i,sharp_v,sharp_i,err_v,err_i
0,2793.18,3777.42,22.635,20.816,1,154.0,198.7,0,0,0.023,0.018,0.015,0.015,0.0069999999999999,0.005
0,1915.57,2325.39,21.78,21.366,1,187.5,138.9,0,0,0.048,0.061,-0.0409999999999999,-0.025,0.006,0.008
0,2996.32,3563.17,23.097,20.717,1,120.2,205.2,0,0,0.1369999999999999,0.077,-0.018,-0.002,0.009,0.005
0,1766.82,3030.11,22.895,20.74,1,138.4,203.6,0,0,0.059,0.037,-0.008,0.013,0.008,0.005
0,1610.96,1949.05,21.787,21.381,1,184.0,139.4,0,0,0.049,0.044,-0.013,-0.003,0.006,0.008
0,1012.56,2308.92,22.965,20.776,1,132.6,198.3,0,0,0.0819999999999999,0.05,-0.026,0.024,0.008,0.005
0,1976.49,3654.5,23.05,20.745,1,133.5,207.5,0,0,0.021,0.021,-0.015,-0.006,0.008,0.005
0,2478.22,2687.86,23.078000000000003,20.788,1,121.2,194.5,0,0,0.047,0.032,-0.026,0.011,0.009,0.006
0,1531.49,2293.39,21.805,21.547,1,176.7,124.9,0,0,0.166,0.165,-0.076,-0.055,0.006,0.009
0,2337.69,2646.2,21.943,21.375,1,165.2,128.9,0,0,0.081,0.104,-0.016,0.011,0.0069999999999999,0.008
0,2571.9,2338.24,23.084,20.8,1,125.2,196.0,0,0,0.013,0.016,-0.02,0.0069999999999999,0.009,0.006
0,2428.12,2378.86,22.399,21.093000000000004,1,159.1,168.7,0,0,0.043,0.025,-0.023,-0.001,0.0069999999999999,0.006
0,2975.98,2986.92,21.784,21.568,1,127.5,92.2,0,0,0.009,0.003,0.009,-0.017,0.009,0.012
0,2046.28,2198.03,21.889,21.501,1,125.2,90.9,0,0,0.081,0.098,-0.039,-0.0069999999999999,0.009,0.012
0,2329.79,2692.02,23.033,20.911,1,116.0,175.0,0,0,0.099,0.078,-0.016,-0.009,0.009,0.006
0,2758.47,2768.57,21.944000000000003,21.564,1,127.2,93.7,0,0,0.008,0.017,-0.033,0.0,0.009,0.012
