extension,x,y,type,mag_v,err_v,snr_v,sharp_v,round_v,crowd_v,flag_v,mag_i,err_i,snr_i,sharp_i,round_i,crowd_i,flag_i
1,2072.65,2039.01,1,23.51,0.023,47.2,-0.065,0.043,0.004,0,23.732,0.046,23.5,-0.105,0.282,0.007,0
1,2461.93,2036.01,1,24.38,0.032,34.0,-0.011,0.129,0.056,0,22.806,0.024,44.7,-0.044,0.098,0.065,0
1,1822.6,1605.02,1,24.83,0.024,45.2,0.034,0.188,0.011,2,22.72,0.016,69.3,-0.002,0.05,0.011,2
1,2470.87,1554.62,1,24.773,0.023,46.9,0.003,0.09,0.007,0,22.757,0.015,71.1,-0.007,0.046,0.009,0
1,2038.63,2004.37,1,24.809,0.04,27.1,0.019,0.134,0.204,0,22.782,0.025,44.2,-0.078,0.148,0.198,0
1,2573.24,2038.07,1,24.316,0.029,38.0,-0.061,0.092,0.007,0,22.949,0.025,43.4,-0.088,0.172,0.013,0
1,2467.26,1940.18,1,23.602,0.016,66.3,0.021,0.306,0.02,0,23.666,0.029,36.9,-0.027,0.308,0.092,0
1,2083.51,1727.92,1,23.754,0.017,65.4,0.004,0.355,0.026,0,23.408,0.024,44.9,0.032,0.382,0.044,0
1,2438.16,1964.45,1,23.839,0.017,62.6,-0.098,0.16,0.011,0,23.28,0.022,48.4,-0.162,0.153,0.02,0
1,2035.86,1989.42,1,23.525,0.024,45.1,0.22,0.046,0.086,0,24.637,0.091,12.0,0.206,0.371,0.276,0
1,2291.73,1435.05,1,24.667,0.021,51.5,0.002,0.209,0.031,0,22.841,0.015,70.8,-0.011,0.014,0.017,0
1,2372.65,1963.41,1,24.881,0.029,37.5,-0.032,-0.011,0.013,0,22.803,0.017,62.9,-0.095,0.101,0.022,0
1,2523.25,2043.18,1,24.532,0.033,33.4,-0.093,0.051,0.004,0,22.891,0.025,43.4,-0.001,0.058,0.005,0
1,2248.29,2024.32,1,24.834,0.042,25.7,-0.127,0.132,0.212,0,22.857,0.026,41.4,-0.061,0.073,0.132,0
1,2437.25,2038.55,1,24.565,0.035,31.3,-0.06,0.444,0.09,0,22.892,0.026,41.2,-0.013,0.209,0.093,0
1,2354.77,2005.28,1,25.813,0.076,14.3,-0.326,0.118,0.049,0,22.791,0.025,43.5,0.079,0.079,0.021,0
1,1991.85,2026.14,1,23.703,0.024,44.4,0.024,0.107,0.001,0,23.52,0.038,28.5,-0.028,0.035,0.004,0
1,2379.53,1694.33,1,25.615,0.038,28.7,-0.02,0.225,0.074,0,22.729,0.015,71.8,0.023,0.068,0.055,0
1,2122.63,1913.12,1,24.415,0.022,48.3,-0.134,0.287,0.103,0,22.972,0.02,55.4,-0.09,0.34,0.2,0
1,2556.53,1794.32,1,25.21,0.029,36.9,-0.027,0.24,0.031,0,22.75,0.015,72.5,0.003,0.075,0.029,0
1,2181.86,1986.06,1,23.903,0.019,56.0,0.04,0.581,0.031,1,23.335,0.025,42.9,0.005,0.486,0.131,1
1,2378.07,2033.29,1,24.733,0.039,27.9,-0.179,0.257,0.026,0,22.903,0.026,41.1,-0.05,0.162,0.025,0
1,2279.21,1987.28,1,24.872,0.03,36.1,-0.156,0.304,0.039,3,22.886,0.019,57.6,-0.039,0.234,0.045,3
1,1929.01,2023.03,1,23.664,0.024,44.6,-0.029,0.097,0.149,0,23.78,0.045,24.1,-0.048,0.066,0.163,0
1,2066.81,1974.58,1,25.341,0.038,28.9,-0.145,0.216,0.029,0,22.838,0.017,63.7,-0.117,0.138,0.026,0
1,2559.78,2006.44,1,24.207,0.028,39.0,-0.07,0.37,0.062,0,23.154,0.028,38.1,-0.01,0.121,0.054,0
1,2103.23,1823.38,1,25.004,0.028,38.6,-0.056,0.387,0.095,0,22.869,0.017,64.5,-0.034,0.212,0.088,0
1,2000.78,1808.02,1,24.638,0.023,47.4,-0.01,0.11,0.015,0,22.971,0.018,61.8,-0.015,0.096,0.024,0
1,2512.52,1960.52,1,23.989,0.018,59.7,-0.034,0.375,0.029,0,23.349,0.023,46.8,-0.098,0.374,0.082,0
1,2902.09,1985.09,1,24.54,0.02,53.5,-0.022,0.031,0.052,1,22.995,0.017,63.5,-0.031,0.034,0.048,1
1,1981.14,1961.32,1,23.757,0.017,62.3,-0.068,0.459,0.049,0,23.673,0.029,37.1,-0.162,0.525,0.092,0
1,1453.28,1795.31,1,24.869,0.024,46.2,-0.028,0.156,0.005,0,22.899,0.016,68.5,-0.009,0.131,0.005,0
1,2150.34,1982.95,1,24.77,0.027,40.1,-0.144,0.037,0.073,0,22.949,0.019,57.9,-0.134,0.057,0.064,0
1,3367.61,1545.26,1,25.272,0.027,39.9,-0.011,0.176,0.014,0,22.815,0.015,74.8,-0.015,0.071,0.018,0
1,1163.53,1987.44,1,26.829,0.082,13.2,-0.355,0.139,0.027,3,23.588,0.031,35.5,0.237,0.113,0.007,3
1,2484.15,1844.73,1,24.945,0.032,34.3,-0.074,0.374,0.009,2,23.008,0.018,61.2,-0.053,0.185,0.01,0
1,2091.13,2030.95,1,23.825,0.028,39.2,-0.072,0.257,0.037,0,25.351,0.172,6.3,-0.935,0.246,0.136,0
1,2289.64,1960.61,1,24.743,0.027,40.7,-0.139,-0.049,0.006,0,23.016,0.02,55.0,-0.036,0.087,0.006,0
1,2252.39,1987.95,1,25.622,0.052,20.9,-0.043,0.371,0.015,3,22.926,0.021,51.1,-0.024,0.204,0.011,3
1,2110.99,1868.07,1,24.514,0.023,46.6,-0.122,0.239,0.013,0,23.116,0.02,54.4,-0.069,0.276,0.053,0
1,2141.79,1742.25,1,25.129,0.03,36.4,0.035,0.309,0.004,0,22.927,0.017,62.9,0.049,0.244,0.002,0
1,2028.49,882.3,1,25.145,0.025,43.6,0.013,0.062,0.009,0,22.936,0.015,71.5,-0.014,0.005,0.01,0
1,1929.88,2019.23,1,23.711,0.025,42.9,-0.048,0.141,0.093,0,24.178,0.06,18.2,0.036,0.659,0.15,0
